내용,종목,명칭,소재지,관리자,상세페이지링크,분류,수량/면적,지정(등록)일,소재지(상세),시대,소유자(소유단체),관리자(관리단체)
"고달사터에 남아 있는 높이 4.3m의 고려시대의 승탑이다. 고달사는 통일신라시대 경덕왕 23년(764)에 창건된 절로, 고려 광종 이후에는 왕들의 보호를 받아 큰 사찰로서의 면모를 유지하기도 하였으나, 조선시대에 폐사된 것으로 추정된다.

이 탑은 바닥의 형태가 8각을 이루고 있으며, 꼭대기의 머리장식이 완전하지 않은 것을 제외하면 대부분 잘 남아있다. 전체의 무게를 지탱하고 있는 기단(基壇)은 상·중·하대 세 부분으로 구성되어 있다. 하대의 각 면에는 내부에 꽃 형태의 무늬가 있는 안상(眼象)이 2구씩 새겨져 있고 윗면에는 16엽의 연판이 돌려졌다. 중대는 이 승탑에서 가장 조각수법이 뛰어난 부재로써 거의 원형을 이루고 있으며, 정면을 바라보고 있는 용과 같은 얼굴의 거북은 입체적으로 표현되어 사실감이 느껴진다. 가운데 거북을 중심으로 총 네 마리의 용이 보주를 쥐고 있으며, 나머지 공간은 구름무늬를 가득 채웠다. 상대석에는 큼지막한 8엽의 앙련이 조각되어 탑몸돌을 받치고 있다.

탑몸돌에는 문비와 자물쇠, 사천왕상(四天王像), 광창(光窓)이 표현되어 있다. 몸돌을 덮고 있는 지붕돌은 꽤 두꺼운 편으로 아랫면에 비천과 구름을 표현하였다. 지붕돌 윗면 각 모서리를 따라 아래로 미끄러지면 그 끝마다 큼직한 귀꽃이 달려 있는데, 일부는 파손된 상태이다. 상륜부에는 둥글넓적한 복발 위로 보개(寶蓋)와 보주(寶珠)가 올려져있다.

전체적으로 통일신라 승탑의 기본형인 팔각원당형 구조를 잘 따르면서도 조각의 세부수법에서는 고려 특유의 양식을 보이고 있어 고려시대 전기에 세워졌을 것으로 보인다.",국보,여주 고달사지 승탑(驪州 高達寺址 僧塔),경기 여주시,여주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=00040000&ccbaCtcd=31&ccbaCpno=1113100040000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 불교 / 탑,1기,1962.12.20,경기도 여주시 북내면 상교리 411-1,고려시대,국유,여주시
"신라 종 양식을 보이는 고려시대 초기에 만들어진 대형의 범종으로, 높이1.44m, 입지름 0.87m, 무게 1.5톤이다.

종 맨 위에는 소리의 울림을 도와 주는 용통이 있고, 고리 역할을 하는 용뉴는 용이 여의주를 물고 두 발로 힘차게 몸을 들어 올리는 형상을 하고 있다. 윗 문양띠(上帶)에는 구슬무늬로 테두리를 하고 있는데, 아래 위 서로 어긋나게 반원을 그리고 그 안에 꽃과 구슬무늬을 새긴 넓은 띠를 두르고 있다. 이 띠는 사각형 모양의 연곽과 한 면이 붙어 있다.

4곳의 연곽 안에는 9개의 돌출된 연꽃 모양의 연뢰가 있는데, 남아 있는 것은 1곳 뿐이다. 종의 몸체 앞뒤에는 비천상을, 좌우에는 삼존상(三尊像)을 두었고, 아래쪽으로 치우쳐 4곳에는 종을 치는 부분인 원형의 당좌를 두었다. 비천상과 삼존상은 모두 구름을 타고 하늘을 나는 모습으로 옷자락이 가볍게 날리고 있다. 종 입구 부분의 아래 띠(下帶)는 구슬무늬로 테두리를 하고 윗띠(上帶)와는 다르게 덩굴무늬를 두고 있어 이 종의 특징이 되고 있다.

종 몸체에 통일신라 문성왕 16년(854)에 조성된 것이라는 후대에 새긴 글이 있으나, 종의 형태와 문양이 그 시대와 일치되지 않아 학계에서는 고려 전기의 종으로 추정하고 있다. 용통에 약간 금이 가고 연뢰가 부서진 것 외에는 보존 상태가 좋으며, 조각한 수법이 뛰어나 고려 종의 걸작 중 하나로 손꼽히고 있다.",국보,용주사 동종(龍珠寺 銅鍾),경기 화성시,용주사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=01200000&ccbaCtcd=31&ccbaCpno=1113101200000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 불교공예 / 의식법구,1구,1964.03.30,"경기 화성시 용주로 136, 용주사 (송산동)",고려시대,용주사,용주사
"『조선왕조실록(朝鮮王朝實錄)』은 조선 태조(太祖)에서부터 조선 철종(哲宗) 때까지 25대 472년간(1392～1863)의 역사를 편년(編年)으로 정리한 책이다. 완성된 실록은 재난에 대비하고자 춘추관사고(春秋館史庫; 서울), 정족산사고(鼎足山史庫; 강화), 태백산사고(太白山史庫; 봉화), 오대산사고(五臺山史庫, 평창), 적상산사고(赤裳山史庫, 무주)의 전국 5대 사고(史庫)에 보관하였다.

봉모당(奉謨堂)은 정조 때 규장각 부속 건물 중 하나로 역대 국왕의 어제어필(御製御筆), 선원록(璿源錄), 국조보감(國朝寶鑑) 등 왕실자료를 보존하던 곳이다. ‘조선왕조실록 봉모당본’은 현재 한국학중앙연구원 장서각에 소장된 실록부록 6책을 일컫는 것으로 모두 권수제면 우측 윗부분에「봉모당인(奉謨堂印)」이라는 소장인이 찍혀 있다. ‘조선왕조실록 봉모당본’은 조선 후기에 어람용(御覽用) 실록을 특별히 제작해 창덕궁 후원 봉모당에 보관 관리하였다는 역사적 사실을 보여주는 사례로, 조선왕조실록 제작 전통의 다양성을 보여준다는 점에서 의의가 있다.",국보,조선왕조실록 봉모당본(朝鮮王朝實錄 奉謨堂本),경기 성남시,한국학중앙연구원,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=01510500&ccbaCtcd=31&ccbaCpno=1113101510500&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,기록유산 / 전적류 / 전적류,6책,2019.06.26,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",조선 전기 및 후기,국유,한국학중앙연구원
"『유가사지론』은 인도의 미륵보살이 지은 글을 당나라의 현장(602∼664)이 번역하여 천자문의 순서대로 100권을 수록한 것으로, 11세기에 간행한 초조대장경 가운데 하나이다. 이 가운데 권17은 습(習)자의 함에 들어있는 것으로, 종이질은 닥나무종이이며, 가로 45㎝, 세로 28.5㎝이다.

처음 새긴 본으로 『현양성교론』 권11(국보)과 같이 11세기에 새겨 인출한 것으로 보인다. 후에 다시 새긴 본과는 판식과 간행기록이 서로 다르며, 처음에 새긴 이 본은 경(敬)자, 경(竟)자가 각각 횟수가 빠져있으나, 다시 새긴 본은 모두 완전하게 고쳐 새겨지고 있다.

판각기술은 처음 새긴 이 본이 다시 새긴 본보다 나은 편이며, 지금까지 전해지는 초조대장경 가운데 보존상태가 좋은 것에 속한다.",국보,초조본 유가사지론 권17(初雕本 瑜伽師地論 卷十七),경기 용인시,명지대학교박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=02440000&ccbaCtcd=31&ccbaCpno=1113102440000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,기록유산 / 전적류 / 목판본 / 대장도감본,1권 1축,1988.12.28,"경기 용인시 처인구 명지로 116, 박물관 (남동)",고려시대(11세기),명지학원,명지대학교박물관
"조선 전기에 제작된 우리나라 지도이다. 크기는 가로 61㎝, 세로 132㎝이다. 3단 형식으로 되어 있는데, 맨 윗부분에는 ‘조선방역지도’라는 제목이 적혀있고 중간 부분에는 지도가 그려져 있으며 맨 아래부분에는 지도 제작에 관련된 사람들의 관직·성명 등이 기록되어 있다.

지도에는 조선 팔도의 주현(州縣)과 수영(水營) 및 병영(兵營)이 표시되었는데 특히 각 군과 현마다 색을 다르게 하여 알아보기 쉽게 하였을 뿐만 아니라 산과 강의 경계도 자세하고 정확하게 묘사하고 있다. 지도의 형태는 지금의 전국지도 모습과 매우 유사하다. 북쪽으로는 만주지역과 남쪽으로는 제주도, 대마도까지 표시하여, 조선 전기 영토의식을 엿볼 수 있다.

이 지도는 명종 12년(1557)∼명종 13년(1558)경에 제작되었다고 추정되며, 임진왜란 때 일본에 유출되어 대마도에 보관되어 있던 것을 1930년대에 입수한 것이다. 이 시기 우리나라 지도의 제작 수준 및 형식을 알 수 있어 더욱 가치 있다. 또한, 만든 이와 연대가 확실한 작품으로 다른 지도의 제작 시기도 밝힐 수 있는 중요한 자료이다.",국보,조선방역지도(朝鮮方域之圖),경기 과천시,국사편찬위원회,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=02480000&ccbaCtcd=31&ccbaCpno=1113102480000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 과학기술 / 천문지리기구 / 지리,1폭,1989.08.01,"경기 과천시 교육원로 86, 국사편찬위원회 (중앙동,국사편찬위원회)",조선 명종 12년(1557),국유,국사편찬위원회
"대방광불화엄경은 줄여서 ‘화엄경’이라고 부르기도 한다. '화엄경'은 부처와 중생이 둘이 아니라 하나라는 것을 기본사상으로 하고 있는 화엄종의 근본경전으로, 법화경과 함께 한국 불교사상 확립에 크게 영향을 끼친 불교경전 가운데 하나이다.

이 책은 고려 현종 때(재위 1011∼1031) 부처님의 힘으로 거란의 침입을 극복하고자 만든 초조대장경 가운데 하나로, 당나라의 실차난타(實叉難陀)가 번역한『화엄경』주본 80권 중 권 제1이다. 닥종이에 찍은 목판본으로 두루마리처럼 말아서 보관할 수 있도록 되어 있으며, 전체 크기는 세로 28.5㎝, 가로 1223.5㎝이다.

초조대장경은 이후에 만들어진 해인사대장경(재조대장경 또는 고려대장경)과 비교해 볼 때 몇 가지 차이점이 있다. 목판의 새김이 정교한 반면에 해인사대장경과 글자수가 다르고 간행연도를 적은 기록은 없으며, 군데군데 피휘(避諱:문장에 선왕의 이름자가 나타나는 경우 공경과 삼가의 뜻을 표시하기 위하여 글자의 한 획을 생략하거나 뜻이 통하는 다른 글자로 대치하는 것)와 약자(略字)가 나타난다. 또 초조대장경은 책의 장수를 표시하는데 있어서 대체로 ‘장(丈)’자나 ‘폭(幅)’자를 쓰는 데 비해 해인사대장경은 ‘장(張)’자로 통일되어 있다.

이 책에서도 ‘경(敬)’자의 한 획이 빠져있는 점, 각 장의 글자수가 23행 14자로 해인사대장경의 24행 17자와 다른 점, 책의 장수 표시로 ‘장(丈)’자를 쓰고 있는 점, 간행기록이 없는 점 등을 통해서 초조대장경의 특징을 살필 수 있다.

우리나라에 전해지는 초조본 대방광불화엄경 중 유일한 권 제1로, 11세기경에 찍어낸 초조대장경의 모습을 살펴볼 수 있는 귀중한 자료이다.",국보,초조본 대방광불화엄경 주본 권1(初雕本 大方廣佛華嚴經 周本 卷一),경기 용인시,경기도박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=02560000&ccbaCtcd=31&ccbaCpno=1113102560000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,기록유산 / 전적류 / 목판본 / 대장도감본,1권1축,1990.09.20,"경기 용인시 기흥구 상갈로 6, 경기도박물관 (상갈동)",고려시대(11세기),공유,경기도박물관
"조선시대에 만들어진 커다란 백자 항아리로, 크기는 높이 49.0㎝, 아가리 지름 20.1㎝, 밑 지름 15.7㎝이다.

큰 항아리는 형태를 만들거나 구워내는 데 어려움이 있기 때문에 한번에 물레로 만드는 경우는 거의 없고, 윗부분과 아랫부분을 따로 만든 후, 두 부분을 접합시켜 완성하는 것이 일반적이다.

짧은 아가리가 사선으로 작은 각을 이루며 맵시있게 꺾인 이 항아리는 아가리 주변 아래에서부터 목이 따로 없이 자연스러운 곡선을 그리면서 벌어지다가, 몸체 중앙의 접합부를 지나면서 다시 좁아져, 아가리 지름과 비슷한 크기의 굽에 이른다.

조선시대 백자의 특징인 온화한 백색과 유려한 곡선, 넉넉하고 꾸밈없는 형태를 고루 갖추어진 항아리로 백자호(국보)와 비교되는 대표적인 백자 항아리이다. 엷은 청색의 유약이 내외면에 고르게 씌워졌으며, 표면의 색조는 유백색이다.

이 항아리는 대형일 뿐 아니라 시원하고 당당한 모습이 17세기 말경부터 18세기 중엽 백자의 대표작이라 할 만하다.",국보,백자 달항아리(1991)(白磁 壺(1991)),경기 용인시,용인대학교,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=02620000&ccbaCtcd=31&ccbaCpno=1111102620000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 생활공예 / 토도자공예 / 백자,1점,1991.01.25,"경기 용인시 처인구 용인대학로 134, 수장고 (삼가동)",,우학문화재단,용인대학교
"조선 후기에 만들어진 백자 항아리로, 크기는 높이 54.8㎝, 아라리 지름 19.2㎝, 밑 지름 18㎝이다.

아가리 부분은 수직으로 낮게 있으며, 부드럽게 팽창하여 어깨부에서 팽배되었다가 서서히 좁아진 후, 몸통 아랫부분에서 약간 벌어져 바닥면에 이른다.

항아리의 양감이 풍부하고 아랫부분이 좁아서 보기에 준수하며, 몸통 가운데에 위·아래를 따로 만들어 붙인 흔적이 있다. 몸통 윗부분의 4곳에 푸른색 안료로 4개의 반원를 연결시켜 만든 마름모 형태의 꽃 창을 큼직하게 그린 다음, 그 속에 산수문과 화조석문을 교대로 그려 넣었다.

각각의 꽃 창 안에 도안화된 ‘富’자를 넣어 사다리꼴로 연결시켜 놓았으며, 꽃 창 사이의 위·아래 4곳에도 역시 도안화된 ‘壽’자와, ‘疆’자가 들어있는 원이 있다. 유약은 투명하고 광택이 좋은 백자유로 전면에 고르게 칠해졌고, 표면의 색조는 엷은 회백색이다.

형태가 아름답고 푸른색의 청화 안료로 그린 사실적인 문양들이 우수하고 다양하여, 이 무렵 대표적인 백자 항아리로 손꼽히는 작품이다.",국보,백자 청화산수화조문 항아리(白磁 靑畵山水花鳥文 立壺),경기 용인시,용인대학교,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=02630000&ccbaCtcd=31&ccbaCpno=1111102630000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 생활공예 / 토도자공예 / 백자,1점,1991.01.25,"경기 용인시 처인구 용인대학로 134, 수장고 (삼가동)",,우학문화재단,용인대학교
"원(元)편으로 중국 고대 반고씨부터 고신씨까지 그리고 당나라 천복 1년(901)에서 송(宋)나라 상흥 2년(1279)까지의 사적을 기록한 역사서이다. 이 책은 원나라 1361년에 중국에서 발간된 적이 있고, 그후 60년만에 우리나라에서 찍어냈다. 이 책의 크기는 가로 18.3㎝, 세로 29.2㎝이다.

판본은 권말에 있는 변계량의 주자발(鑄字跋)에 의하면, 세종 2년(1420) 11월에 공조참찬 이천에게 명하여 새로운 활자를 만들어서 인쇄한 경자자본으로서 세종 4년(1422)에 간행된 것이며, 서, 목록, 서례는 계미자이다. 권말에 있는 변계량의 주자발은 『통감속편』 외에도 『세종실록』 권18, 『춘정집』 권12, 『동문선』 권103에 실려있다.

이 책은 서지학 및 고인쇄기술사를 연구하는데 매우 귀중한 자료가 된다.",국보,통감속편(通鑑續編),경기 성남시,한국학중앙연구원,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=02830000&ccbaCtcd=31&ccbaCpno=1113702830000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,기록유산 / 전적류 / 활자본 / 금속활자본,24권6책,1995.03.10,"경기 성남시 분당구 하오개로 323, 한국학중앙연구원 (운중동)",조선 세종 4년(1422),손＊＊＊,한국학중앙연구원
"괘불이란 절에서 큰 법회나 의식을 행하기 위해 법당 앞뜰에 걸어놓고 예배를 드리는 대형 불교그림이다. 칠장사 괘불은 길이 659.5cm, 폭 398.3cm의 크기로, 구름을 이용하여 상·중·하 3단으로 구분되었다.

오불회 괘불탱은 상단에 비로자나불을 중심으로 노사나불, 석가모니불을 모셔 삼신불을 묘사하고, 그 아랫단에는 약사불과 아미타불, 그리고 상단의 석가모니불을 아울러 삼세불을 표현하였으며, 가장 하단에는 관음보살좌상과 지장보살좌상을 그려 수미산 정상의 도솔천궁을 표현하였다. 이러한 3단 배치는 예배자들에게 삼신불과 삼세불의 세계를 통해 진리를 깨우치게 하고, 관음보살과 지장보살의 구원으로 도솔천궁에 이를 수 있음을 보여주는 것으로 이 괘불의 가장 큰 특징이라 하겠다.

채색은 녹색을 주로 하고 황색과 황토색을 대비시켜 다소 어두워 보이나, 옷 처리를 붉은색으로 하여 경쾌함을 느낄 수 있다.

이 괘불은 조선 인조 6년(1628)에 법형(法浻)이 그린것 이다. 괘불에서 보이는 단아하고 세련된 인물의 형태와 짜임새 있는 구도, 섬세한 필치 등은 당대를 대표하는 것으로, 이 작품은 17세기 전반의 불화 연구에 중요한 위치를 차지하고 있다.",국보,칠장사 오불회 괘불탱(七長寺 五佛會 掛佛幀),경기 안성시,칠장사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=31&ccbaKdcd=11&ccbaAsno=02960000&ccbaCtcd=31&ccbaCpno=1113102960000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 불교회화 / 괘불화 / 오불회도,1폭,1997.09.22,"경기 안성시 죽산면 칠장로 399-18, 칠장사 (칠장리)",조선 인조 6년(1628),칠장사,칠장사
