연번,종목,명칭,소재지,관리자,상세페이지링크,분류,수량/면적,지정(등록)일,소재지(상세),시대,소유자(소유단체),관리자(관리단체),설명
1,국보,남원 실상사 백장암 삼층석탑(南原 實相寺 百丈庵 三層石塔),전북 남원시,백장암,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=00100000&ccbaCtcd=35&ccbaCpno=1113500100000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 불교 / 탑,1기,1962.12.20,전라북도 남원시 산내면 대정리 975,통일신라시대 9세기,백장암,백장암,"실상사는 지리산 천왕봉 서편에 위치한 절로, 통일신라 흥덕왕 3년(828)에 홍척(洪陟)이 창건하였다. 이 곳에서 북쪽으로 얼마쯤 가다보면 백장암이 나타나는데, 실상사에 딸린 소박한 암자로, 그 아래 경작지에 이 탑이 세워져 있다.

낮은 기단(基壇) 위에 3층의 탑신(塔身)을 올린 모습으로, 각 부의 구조와 조각에서 특이한 양식과 수법을 보이고 있다. 즉, 일반적인 탑은 위로 올라갈수록 너비와 높이가 줄어드는데 비해 이 탑은 너비가 거의 일정하며, 2층과 3층은 높이도 비슷하다. 층을 이루지 않고 두툼한 한 단으로 표현된 지붕돌의 받침도 당시의 수법에서 벗어나 있다. 또한 탑 전체에 조각이 가득하여 기단은 물론 탑신에서 지붕에 이르기까지 다양한 조각이 나타난다. 기단과 탑신괴임에는 난간모양을 새겨 멋을 내었고, 탑신의 1층에는 보살상(菩薩像)과 신장상(神將像)을, 2층에는 음악을 연주하는 천인상(天人像)을, 3층에는 천인좌상(天人坐像)을 새겼다. 지붕돌 밑면에는 연꽃무늬를 새겼는데 3층만은 삼존상(三尊像)이 새겨져 있다.

통일신라시대 후기에 세워진 것으로 추측되는 이 탑은 갖가지 모습들의 조각으로 화려하게 장식하는 등 형식에 얽매이지 않은 자유로운 구조가 돋보이고 있어, 당시를 대표하는 아름다운 석탑 중 하나라 할 수 있다."
2,국보,익산 미륵사지 석탑(益山 彌勒寺址 石塔),전북 익산시,익산시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=00110000&ccbaCtcd=35&ccbaCpno=1113500110000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 불교 / 탑,1기,1962.12.20,전북 익산시 금마면 기양리 97번지,백제시대 후기 7세기,국유,익산시,"백제 최대의 사찰이었던 익산 미륵사는 무왕(武王, 600-641) 대에 창건된 것으로 알려져 있다. 미륵사는 전형적인 1탑1금당의 백제식 가람배치와 달리 세 개의 탑과 금당 등으로 구성된 3탑3금당의 독특한 배치형식이다. 이 미륵사지 석탑은 세 개의 탑 중 서쪽에 위치한 탑이다. 우리나라 석탑 중 가장 규모가 크고 창건시기가 명확하게 밝혀진 석탑 중 가장 이른 시기에 건립된 것이다. 원래는 9층으로 추정되고 있으나 반파된 상태로 6층 일부까지만 남아있었다. 창건당시의 정확한 원형은 알 수 없으며, 17~18세기 이전 1층 둘레에 석축이 보강되고 1915년 일본인들이 무너진 부분에 콘크리트를 덧씌운 상태로 전해졌다.

남아있던 6층까지의 높이는 약 14.2m이고 상·하 이층으로 구성된 기단의 전체 폭은 약 12.5m이다. 1층은 각 면이 3칸으로 구성되고 가운데 칸에는 문을 내달아 계단을 통해 사방으로 통하게 하였다. 기둥석은 아래가 넓고 위가 좁은 민흘림기법과 양 끝 모서리를 약간 높인 귀솟음기법이 반영되어 있다. 기둥석 하부에는 목조건물에서처럼 별도의 초석이 있고 기둥과 기둥을 연결하는 상ㆍ하 인방석(引枋石)과 기둥 상부에 평방석(平枋石), 포벽석(包壁石) 등이 구성되었다. 옥개부(屋蓋部)는 목조건물의 지붕처럼 모서리 끝이 살짝 치켜 올라가고 가운데가 오목하게 들어가는 부드러운 곡선을 이루고 있다.

한편 석탑의 1층 내부에는 ‘十’자형 공간이 조성되어 동서남북 네 방향에서 출입이 가능하며, 탑의 중심에는 여러 개의 사각형 돌을 수직으로 쌓아올린 기둥(심주)이 4층까지 연속된다. 이러한 모습은 다른 석탑에서는 찾아볼 수 없는 특징이며, 2009년 1층의 첫 번째 심주석에서 발견된 사리봉영기(舍利奉迎記)의 기록을 통해 639년이라는 석탑의 건립연대가 명확하게 밝혀졌다.

석탑은 1998년 구조안전진단 결과에 따라 이듬해 해체수리가 결정되었고 2001년 해체조사에 착수하여 2017년 조립공정이 완료되었다. 익산 미륵사지 석탑은 고대의 목탑에서 석탑으로 변화되는 과정을 충실하게 잘 보여준다. 또한 고대건축의 실제 사례로써 역사적 가치가 매우 높아 우리나라 불탑건축 연구에서 대단히 중요한 문화유산이다."
3,국보,김제 금산사 미륵전(金堤 金山寺 彌勒殿),전북 김제시,금산사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=00620000&ccbaCtcd=35&ccbaCpno=1113500620000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 불교 / 불전,1동,1962.12.20,"전북 김제시 금산면 모악15길 1, 금산사 (금산리)",조선 인조 13년(1636),금산사,금산사,"모악산에 자리한 금산사는 백제 법왕 2년(600)에 지은 절로 신라 혜공왕 2년(766)에 진표율사가 다시 지었다.

미륵전은 정유재란 때 불탄 것을 조선 인조 13년(1635)에 다시 지은 뒤 여러 차례의 수리를 거쳐 오늘에 이르고 있다. 거대한 미륵존불을 모신 법당으로 용화전·산호전·장륙전이라고도 한다. 1층에는 ‘대자보전(大慈寶殿)’, 2층에는 ‘용화지회(龍華之會)’, 3층에는 ‘미륵전(彌勒殿)’이라는 현판이 걸려있다

1층과 2층은 앞면 5칸·옆면 4칸이고, 3층은 앞면 3칸·옆면 2칸 크기로, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕이다. 지붕 처마를 받치기 위해 장식한 구조가 기둥 위뿐만 아니라 기둥 사이에도 있는 다포 양식이다. 지붕 네 모서리 끝에는 층마다 모두 얇은 기둥(활주)이 지붕 무게를 받치고 있다.

건물 안쪽은 3층 전체가 하나로 터진 통층이며, 제일 높은 기둥을 하나의 통나무가 아닌 몇 개를 이어서 사용한 것이 특이하다. 전체적으로 규모가 웅대하고 안정된 느낌을 준다."
4,국보,익산 왕궁리 오층석탑 사리장엄구(益山 王宮里 五層石塔 舍利莊嚴具),전북 익산시,국립익산박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=01230000&ccbaCtcd=35&ccbaCpno=1113501230000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 불교공예 / 사리장치,일괄(5종 30점),1966.07.26,"전라북도 익산시 미륵사지로 362 (금마면, 국립익산박물관)",통일신라,국유,국립익산박물관,"마한의 왕궁이 있던 자리로 알려진 터에 있는 익산 왕궁리 오층석탑(국보)을 보수하기 위해, 1965년 해체하면서 탑을 받치고 있던 기단부와 1층 지붕돌 윗면에서 발견된 유물들이다. 발견된 유물들은 백제에서 통일신라에 이르는 시기의 것들로 판단된다.

기단부 윗면에 品자형으로 뚫린 3개의 구멍 중 동쪽에서는 광배와 대좌를 갖추고 있는 금동여래입상 1구와 불교 의식 때 흔들어 소리를 내던 청동요령 1개가 나왔고, 북쪽구멍에서는 향류(香類)가, 또 다른 구멍은 이미 도굴된 상태였다. 1층 지붕돌 윗면 중앙에 뚫려있는 2개의 구멍에서는 각각 연꽃 봉오리모양의 마개가 덮여있는 녹색의 유리사리병과 금강경의 내용을 19장의 금판에 새겨 책처럼 2개의 금줄로 묶은 은제도금금강경판이 있었다.

이 유물들은 모두 2중으로 된 금동제 합 안에 봉안되어 있었다. 바깥쪽의 외합은 단순히 내합과 유물들을 보호하기 위한 기능으로 장식도 없고 칠도 벗겨져 있었다. 녹색의 사리병이 들어 있었던 내합은 뚜껑 윗면에 반쯤 핀 연꽃 봉오리와 주변에는 구슬무늬를 새겨 넣었고, 금강경판이 들어있던 내합은 뚜껑 윗면에 손잡이로 금고리를 달고 국화 문양을 새긴 것으로 모두 도금 상태가 완전하였다."
5,국보,이화 개국공신녹권(李和 開國功臣錄券),전북 전주시,국립전주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=02320000&ccbaCtcd=35&ccbaCpno=1113502320000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,기록유산 / 문서류 / 국왕문서 / 교령류,1축,1986.10.15,"전라북도 전주시 완산구 쑥고개로 249 (효자동2가, 국립전주박물관)",조선 태조 1년(1392),이＊＊＊,국립전주박물관,"공신녹권은 나라에 공이 있는 인물에게 공신으로 임명하는 증서로, 개국공신록권은 조선을 건국한 태조 이성계가 나라를 세우는 데 공헌한 신하들에게 내린 것이다. 이 문서는 조선 태조 1년(1392)에 조선개국에 공을 세운 이화에게 내린 녹권이다. 이성계의 아버지 환조(桓祖)는 서자 2명이 있었는데 그 중 둘째 아들이 바로 이화이다.

크기를 보면 세로 35.3㎝의 닥나무종이 9장을 붙여 전체 길이가 604.9㎝에 이르며, 본문 앞 여백의 바깥쪽을 장식하고 보호하기 위해 33㎝의 명주와 안쪽을 보강한 명주는 부식되어 없어진 두루마리이다.

내용을 보면 녹권을 받는 사람의 성명에 이어 공신들의 공신사례, 공신 및 그 부모, 처자 등에 대한 표상과 특전이 묵서로 기록되어 있다. 녹권의 첫머리와 접지 부분에 ‘이조지인’이라고 도장을 찍었다.

이 문서는 이화의 후손이 없어 그의 이복형인 이원계의 가문에 의해 보관되어 오고 있다. 조선왕조에서는 처음으로 발급된 녹권이며, 개국공신녹권으로는 최초로 발견된 것으로, 조선 태조의 건국이유와 그 주역들의 공적을 파악하는 데 귀중한 자료이다."
6,국보,익산 왕궁리 오층석탑(益山 王宮里 五層石塔),전북 익산시,익산시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=02890000&ccbaCtcd=35&ccbaCpno=1113502890000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 불교 / 탑,1기,1997.01.01,전북 익산시 왕궁면 왕궁리 산80-1번지,고려시대,국유,익산시,"마한시대의 도읍지로 알려진 익산 왕궁면에서 남쪽으로 2㎞쯤 떨어진 언덕에 자리하고 있는 석탑이다. 1단의 기단(基壇) 위로 5층의 탑신(塔身)을 올린 모습으로, 기단부가 파묻혀 있던 것을 1965년 해체하여 수리하면서 원래의 모습이 드러났다.

탑의 기단은 네 모서리에 8각으로 깎은 주춧돌을 기둥삼아 놓고, 기둥과 기둥 사이에는 길고 큰 네모난 돌을 지그재그로 맞물리게 여러 층 쌓아 올려놓아 목조탑의 형식을 석탑에서 그대로 재현하고 있다. 이 팔각기둥과 네모난 돌들 사이는 흙을 다져서 메웠는데 이 속에서 백제시대의 기와조각이 발견되기도 하였다. 발굴 중에 기단 각 면의 가운데에 2개씩 기둥조각을 새긴 것이 드러났으며, 탑의 1층 지붕돌 가운데와 탑의 중심기둥을 받치는 주춧돌에서 사리장치가 발견되었다.

1층부터 5층까지 탑신부 몸돌의 네 모서리마다 기둥 모양을 새겼으며, 1층 몸돌에는 다시 면의 가운데에 2개씩 기둥 모양을 조각했다. 지붕돌은 얇고 밑은 반듯하나, 네 귀퉁이에서 가볍게 위로 치켜 올려져 있으며, 방울을 달았던 구멍이 뚫려 있다. 각 층 지붕돌의 윗면에는 몸돌을 받치기 위해 다른 돌을 끼워놓았다. 5층 지붕돌 위에는 탑머리장식이 남아있다.

지붕돌이 얇고 넓어 빗물을 받는 낙수면이 평평한 점이나, 탑신부 1층의 지붕돌이 기단보다 넓은 점 등 백제석탑의 양식을 일부 유지하고 있다. 그동안 언제 제작되었는가에 대해 의견이 분분한 상태였으나 1965년 보수작업 때 기단의 구성양식과 기단 안에서 찾아낸 사리장치의 양식이 밝혀지면서 그 시기가 비교적 뚜렷이 밝혀졌다. 즉, 백제의 옛 영토 안에서 고려시대까지 유행하던 백제계 석탑양식에 신라탑의 형식이 일부 어우러진 고려 전기의 작품으로 추측된다.

이 석탑에서 발견된 고려시대의 유물들은 국보로 일괄지정되어 국립중앙박물관에서 보관하고 있다. 최근 국립부여문화유산연구소의 발굴과정에서 지금의 석탑에 앞서 목탑이 있었음을 확인할 수 있는 흔적이 이 탑 밑부분에서 발견되어 다시금 주목을 끌고 있다."
7,국보,완주 화암사 극락전(完州 花巖寺 極樂殿),전북 완주군,화암사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=03160000&ccbaCtcd=35&ccbaCpno=1113503160000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유적건조물 / 종교신앙 / 불교 / 불전,1동,2011.11.28,"전라북도 완주군 화암사길 271 (경천면, 화암사)",조선시대 초기,화암사,화암사,"화암사는 불명산 시루봉 남쪽에 있는 절로 본사인 금산사에 딸린 절이다. 절을 지을 당시의 자세한 기록은 없으나 원효와 의상이 유학하고 돌아와 수도하였다는 기록으로 보아 신라 문무왕 이전에 지은 것으로 보인다.

극락정토를 상징하는 극락전은 1981년 해체·수리 때 발견한 기록에 따르면, 조선 선조 38년(1605)에 세운 것으로 되어 있다.

앞면 3칸·옆면 3칸 크기에 지붕은 옆면에서 볼 때 사람 인(人)자 모양을 한 맞배지붕으로 꾸며 소박하고 작은 규모를 보이고 있다. 지붕 처마를 받치기 위해 기둥 위부분에 장식하여 짜은 구조가 기둥 위와 기둥 사이에도 있는 다포 양식이다. 건물 안쪽 가운데칸 뒤쪽에는 관세음보살상을 모셨으며, 그 위에 지붕 모형의 닫집을 만들어 용을 조각하였다.

화암사 극락전은 우리나라에 단 하나뿐인 하앙식(下昻式) 구조이다. 하앙식 구조란 바깥에서 처마 무게를 받치는 부재를 하나 더 설치하여 지렛대의 원리로 일반 구조보다 처마를 훨씬 길게 내밀 수 있게 한 구조이다. 중국이나 일본에서는 근세까지도 많이 볼 수 있는 구조이지만 우리나라에서는 유일한 것으로 목조건축 연구에 귀중한 자료가 되고 있다."
8,국보,조선태조어진(朝鮮太祖御眞),전북 전주시,어진박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=03170000&ccbaCtcd=35&ccbaCpno=1113503170000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 일반회화 / 인물화 / 초상화,1폭,2012.06.29,"전라북도 전주시 완산구 태조로 44-0 (풍남동3가, 경기전 경기전) 어진박물관",1872년(고종9),국유,어진박물관,"조선을 건국한 태조 이성계의 초상화로 가로 150㎝, 세로 218㎝이다. 태조의 초상화는 한 나라의 시조로서 국초부터 여러 곳에 특별하게 보관되어 총 26점이 있었으나 현재 전주 경기전에 있는 태조 초상화 1점만이 남아있다.

이 초상화는 임금이 쓰는 모자인 익선관과 곤룡포를 입고, 정면을 바라보며 용상에 앉아있는 전신상으로 명나라 태조 초상화와 유사하다. 곤룡포의 각진 윤곽선과 양다리쪽에 삐져나온 옷의 형태는 조선 전기 공신상에서 볼 수 있는 특징이다. 또한 바닥에 깔린 것은 숙종 때까지 왕의 초상화에 사용된 것으로, 상당히 높게 올라간 것으로 보아 오래된 화법임을 알려준다. 의자에 새겨진 화려한 용무늬는 공민왕상에서도 보이는 것으로, 고려말에서 조선초까지 왕의 초상화에서 나타나고 있다. 익선관은 골진 부분에 색을 발하게 하여 입체감을 표현하였고, 정면상임에도 불구하고 음영법을 사용하여 얼굴을 표현하였다.

고종 9년(1872)에 낡은 원본을 그대로 새로 옮겨 그린 것인데, 전체적으로 원본에 충실하게 그려 초상화 중 가장 표현하기 어려운 정면상임에도 불구하고 훌륭하게 소화해 낸 작품으로 조선 전기 초상화 연구에 있어 귀중한 자료가 된다."
9,국보,익산 미륵사지 서탑 출토 사리장엄구(益山 彌勒寺址 西塔 出土 舍利莊嚴具),전북 익산시,국립익산박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=03400000&ccbaCtcd=35&ccbaCpno=1113503400000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 불교공예 / 장엄구,"총 9점(금제 사리봉영기 1점, 금동사리외호 1점, 금제 사리내호 1점, 청동합 6점)",2022.12.27,"전라북도 익산시 미륵사지로 362 (금마면, 국립익산박물관)",639년(무왕 40) 경,국유,국립익산박물관,"‘익산 미륵사지 서탑 출토 사리장엄구’는 2009년 익산 미륵사지 서탑 심주석(心柱石)의 사리공(舍利孔)에서 출토된 유물로서, 639년(무왕 40) 절대연대가 기록된 금제 사리봉영기(金製 舍利奉迎記)와 함께 금동사리외호(金銅舍利外壺), 금제 사리내호(金製 舍利內壺)를 비롯해 각종 구슬 및 공양품을 담은 청동합 6점이다.

‘금제 사리봉영기’는 얇은 금판으로 만들어 앞·뒷면에 각각 11줄 총 193자가 음각되었다. 내용은 좌평(佐平) 사택적덕(沙宅積德)의 딸인 백제 왕후가 재물을 희사해 사찰을 창건하고 기해년(己亥年, 639)에 사리를 봉안해 왕실의 안녕을 기원한다는 내용이다. 즉 백제의 왕과 왕비의 장수와 왕조의 영원무궁을 빈 것으로 미륵사는 왕사로서 왕권을 강화하기 위한 목적으로 창건되었음을 알 수 있다. 이 봉영기는 그동안『삼국유사』를 통해 전해진 미륵사 창건설화에서 한걸음 더 나아가 조성 연대와 주체에 대한 새롭고 구체적인 역사적 사실이 밝혀지게 되어 역사적ㆍ학술적 가치가 높다. 서체 역시 곡선미와 우아함이 살아있는 초당풍(初唐風) 양식을 간직하고 있어 백제서예의 수준과 한국서예사 연구에 필요한 유익한 정보를 제공해 준다.

‘금동사리외호 및 금제 사리내호’는 모두 동체의 허리 부분을 돌려 여는 구조로서, 이러한 구조는 동아시아 사리기 중에서 유사한 사례를 찾기 어려운 독창적인 구조로서 주목된다. 전체적으로 선의 흐름이 유려하고 볼륨감과 문양의 다양성과 생동감이 뛰어나 기형(器形)의 안정성과 함께 세련된 멋이 한껏 드러나 있다.

‘청동합’은 구리와 주석 성분의 합금으로 크기가 각기 다른 6점으로 구성되어 있다. 청동합 중 하나에 새겨진 백제 2품 ‘달솔 목근(達率目近)’이라는 명문을 통해 시주자의 신분이 최상층이고 그들이 시주한 공양품의 품목을 알 수 있어 사료적 가치와 백제 최상품 그릇으로서 희귀성이 높다. 청동합은 녹로(轆轤)로 성형한 동제 그릇으로서 그 일부는 우리나라 유기(鍮器) 제작 역사의 기원을 밝혀 줄 중요한 사례라는 점에서 역사적ㆍ학술적 가치가 매우 크다.

이처럼 ‘익산 미륵사지 서탑 출토 사리장엄구’는 백제 왕실에서 발원하여 제작한 것으로, 석탑 사리공에서 봉안 당시의 모습 그대로 완전한 형태로 발견되어 고대 동아시아 사리장엄 연구에 있어서 절대적 사료이자 기준이 된다. 제작 기술면에 있어서도 최고급 금속재료와 백제 금속공예 기술의 역량을 응집해 탁월한 예술품으로 승화시켰으므로 한국공예사에 뚜렷한 자취를 남긴 유물로서 위상이 높다. 7세기 전반 백제 금속공예 기술사를 증명해주는 한편 동아시아 사리공예품의 대외교류를 밝혀주는 자료로서 역사적ㆍ학술적ㆍ예술적 가치가 매우 크다."
10,국보,부안 내소사 동종(扶安 來蘇寺 銅鍾),전북 부안군,대한불교조계종 내소사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=11&ccbaAsno=03420000&ccbaCtcd=35&ccbaCpno=1113503420000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,유물 / 불교공예 / 의식법구,1구,2023.12.26,"전라북도 부안군 내소사로 243 (진서면, 내소사)",1222년(고려 고종 9),대한불교조계종 내소사,대한불교조계종 내소사,"사찰에서 사용하는 종은 소리를 통해 범음(梵音)을 전파하는 도구 중 하나로 법고, 운판, 목어와 더불어 법구사물(法具四物)로 불린다. 종은 대중을 모이게 하거나 시간을 알리기 위해 치기도 하지만, 신성한 불음(佛音)을 통해 현실에서 고통 받고 있는 중생들의 깨달음과 구제를 염원하는 종교적 기능도 가지고 있다.

‘부안 내소사 동종’은 몸체에 음각으로 새겨진 주종기(鑄鍾記)를 통해 도인(道人) 허백(虛白)과 종익(宗益)의 주관 아래 장인 한중서(韓冲敍)가 700근의 무게로 1222년(貞祐 10) 제작하였음을 명확히 알 수 있는 13세기 동종의 기준작이다. 한중서는 13세기 전반부터 중엽까지 활동한 장인으로 사장(私匠)에서 시작해 대외적으로 실력을 인정받아 관장(官匠)이 되어 다양한 분야에서 활동하였다. 한중서는 고령사 청동북, 복천사 청동북, 신룡사명 소종 등의 작품을 남겼으며 다양한 분야와 영역에서 활약한 기록이 확인된다.

현재 내소사 보종각에 걸려 있는 이 동종은 고려 후기 동종 가운데 크기가 가장 크다. 통일신라시대 동종의 전통을 계승하면서도 고려시대 동종만의 특징이라 할 수 있는 장식 요소가 나타나고 있는데 종의 어깨 부분을 장식하는 입상연판문대(立狀蓮瓣文帶)가 표현된 점, 몸체에 부조상으로 천인상 대신 흩날리는 천개(天蓋) 아래로 삼존상을 배치한 점, 당좌(撞座)가 4개로 늘어난 점 등이다. 이러한 장식성과 조형성은 이후 고려 후기 동종의 모본이 되었는데, 이를 통해 장인 한중서의 숙련된 기술력과 예술성을 엿볼 수 있다.

이 동종은 처음 청림사에 봉안되었다가 1850년(철종 1) 내소사로 옮겨졌는데, 1853년(철종 4) 은사(隱士) 김성규(金性圭)가 이를 기록한 이안기(移安記)도 몸체에 음각으로 남겨져 있어 동종의 역사적 변천사를 살필 수 있다는 점에서 사료적 가치가 크다. 따라서 이 동종은 양식, 조각, 주조 및 설계 등에서 한국범종사와 제작 기술을 연구하는 데 매우 중요한 자료일 뿐 아니라 주종기와 이안기 등을 통해 봉안처, 발원자, 제작 장인 등 내력을 정확히 알 수 있다는 점에서 학술적 가치가 뛰어나 국보로 지정해 보호할 필요가 있다."
